"";"date";"cas_confirmes";"deces"
"1";2020-01-23;0;NA
"2";2020-01-24;1;NA
"3";2020-01-25;1;NA
"4";2020-01-26;1;NA
"5";2020-01-27;2;NA
"6";2020-01-28;2;NA
"7";2020-01-29;2;NA
"8";2020-01-30;2;NA
"9";2020-01-31;2;NA
"10";2020-02-01;2;NA
"11";2020-02-02;2;NA
"12";2020-02-03;2;NA
"13";2020-02-04;2;NA
"14";2020-02-05;2;NA
"15";2020-02-06;2;NA
"16";2020-02-07;2;NA
"17";2020-02-08;8;NA
"18";2020-02-09;8;NA
"19";2020-02-10;8;NA
"20";2020-02-11;8;NA
"21";2020-02-12;8;NA
"22";2020-02-13;8;NA
"23";2020-02-14;8;NA
"24";2020-02-15;8;NA
"25";2020-02-16;8;NA
"26";2020-02-17;8;NA
"27";2020-02-18;8;NA
"28";2020-02-19;8;NA
"29";2020-02-20;8;NA
"30";2020-02-21;8;NA
"31";2020-02-22;8;NA
"32";2020-02-23;8;NA
"33";2020-02-24;8;NA
"34";2020-02-25;9;NA
"35";2020-02-26;16;NA
"36";2020-02-27;20;NA
"37";2020-02-28;32;NA
"38";2020-02-29;35;NA
"39";2020-03-01;59;NA
"40";2020-03-02;98;NA
"41";2020-03-03;116;NA
"42";2020-03-04;192;NA
"43";2020-03-05;332;NA
"44";2020-03-06;561;NA
"45";2020-03-07;753;NA
"46";2020-03-08;1069;NA
"47";2020-03-09;1468;NA
"48";2020-03-10;1936;NA
"49";2020-03-11;2452;NA
"50";2020-03-12;3091;NA
"51";2020-03-13;3607;NA
"52";2020-03-14;3964;NA
"53";2020-03-15;4558;NA
"54";2020-03-16;4864;NA
"55";2020-03-17;5505;NA
"56";2020-03-18;5602;NA
